"","Quantiseq_B_cell","Epidish_BPRNACan_B","DeconRNASeq_BPRNACan_B","Epidish_BPRNACan3DProMet_B","DeconRNASeq_BPRNACan3DProMet_B","Epidish_BPRNACanProMet_B","DeconRNASeq_BPRNACanProMet_B","Epidish_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_B.cells","DeconRNASeq_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_B.cells","Epidish_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_B.cells","DeconRNASeq_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_B.cells","Epidish_CCLE_TIL10_B.cells","DeconRNASeq_CCLE_TIL10_B.cells","Epidish_CD226_B","DeconRNASeq_CD226_B","Epidish_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_B.cells","DeconRNASeq_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_B.cells","Epidish_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_B.cells","DeconRNASeq_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_B.cells","DeconRNASeq_TIL10_B.cells","CBSX__NSCLC.scRNAseq__B_cells","CBSX__scRNA.melanoma__B_cells","CBSX__CCLE.TIL10__B.cells","CBSX__CD226__B"
"R3388_YZ_12",0.0287533248104012,0.00378563285136632,0.0666128252730722,0.0173056069867174,0.033044080828988,0.0278178174312816,0.0373676443080272,0.674083385643176,0.430332004725811,0.0811624517515913,0.0793366271461524,0,0.0534484440001141,0.441546400723654,0.124083945738903,0.674083385643176,0.430332004725811,0.0811624517515913,0.0793366271461524,0.0606361981652289,0.8428279949141,0.0438337716317342,0,0.225532349325423
"R3388_YZ_13",0.0496777330528983,0.0387199663636423,0.105159445648028,0.0607222139163928,0.0704266747470229,0.0746438540638192,0.0776144120616295,0.622422497747342,0.534535947277739,0.137901219705484,0.113206131761648,0,0.0690333175715414,0.46972946769769,0.30284427878765,0.622422497747342,0.534535947277739,0.137901219705484,0.113206131761648,0.0998671743982519,0.587052585872669,0.106768011062875,0,0.228712464591939
"R3388_YZ_14",0.0518621401273068,0.0683946071176251,0.132612367734132,0.0936508108216593,0.129928807742178,0.13683077051356,0.135803759573631,0.817980789207244,0.68245898018906,0.164351991137054,0.149341771645256,0,0.0541192080181531,0.512609305947226,0.3803486804487,0.817980789207244,0.68245898018906,0.164351991137054,0.149341771645256,0.0833511848705373,0.921690824423608,0.128259601498171,0,0.268341763387994
"R3388_YZ_15",0.0397734640687369,0.0119619790702015,0.103038496471671,0.0262452052949335,0.0650249090443457,0.0341321170487346,0.0678377288389589,0.647792029298876,0.599924874202445,0.0468158797739342,0.133848730874708,0,0.094907850070788,0.47194396294974,0.366826800258965,0.647792029298876,0.599924874202445,0.0468158797739342,0.133848730874708,0.109507274902314,0.832791612716241,0,0,0.312059983529038
"R3388_YZ_16",0.16029816099455,0.108244992225869,0.13260631539744,0.144686366391819,0.119918600404737,0.177439979388994,0.12593191049415,0.940518888834903,0.500867362412736,0.239723466182599,0.0879237333510593,0.063274760998303,0.192537047604418,0.489728713736613,0.230190120014401,0.940518888834903,0.500867362412736,0.239723466182599,0.0879237333510593,0.186932461620192,0.886838084203615,0.252251087098155,0.116370800486042,0.207402627530319
"R3388_YZ_17",0.0991122740404014,0.0949483977360463,0.0937914949536693,0.113112133303552,0.0385014678137535,0.131388575721296,0.0485449645515751,0.870526193747618,0.429630122728732,0.207935513398518,0.0839205397819356,0.0623128438802227,0.178368380067234,0.426897468652789,0.144287675902795,0.870526193747618,0.429630122728732,0.207935513398518,0.0839205397819356,0.187413068482088,0.778371971325898,0.212796069462387,0.0371228877091415,0.281200480947523
"R3388_YZ_19",0.0959216090484103,0.0363875095062222,0.0952306299870748,0.0429922107921636,0.0602818078058548,0.0632134199643452,0.07729530355998,0.875367375152054,0.575518736878368,0.31167862022692,0.12836124752617,0,0.143866424885627,0.576620579140029,0.369667408807385,0.875367375152054,0.575518736878368,0.31167862022692,0.12836124752617,0.179275878936706,0.869608411023707,0.238753562469966,0,0.288152462790431
"R3388_YZ_20",0.0325523481824666,0.00108593365371802,0.0809917737575994,0.0126795316406136,0.0261250276071172,0.0207017531520128,0.0258611210462971,0.680002745314926,0.477580991236275,0.05469211971758,0.0805669895217407,0,0.0339083847622429,0.48003309594188,0.252144222304249,0.680002745314926,0.477580991236275,0.05469211971758,0.0805669895217407,0.088951793540667,0.797407249400497,0.024394384616195,0,0.164445495361448
"R3388_YZ_21",0.103659331363977,0.0983096610330395,0.144451255215434,0.145734569015474,0.142888351618622,0.164217909550565,0.144048679325239,0.916286885378342,0.742031741516929,0.239334775480722,0.187473654500087,0.145658099741262,0.156359408671683,0.545480050278922,0.45688498538204,0.916286885378342,0.742031741516929,0.239334775480722,0.187473654500087,0.153493289155345,0.984977111379729,0.249413322699969,0.11292788381779,0.302592799497317
"R3388_YZ_23",0.0175744794525103,0.0214895890375223,0.123900852702202,0.0355751249923976,0.076081350995,0.0567490180118342,0.0767763252881286,0.689024605431089,0.508138656312251,0.0485754236517061,0.0986226682143644,0,0.042295044496551,0.593968863012054,0.296457694391197,0.689024605431089,0.508138656312251,0.0485754236517061,0.0986226682143644,0.0549105320854358,0.740564555833354,0.00033852410674343,0,0.275527786065263
"R3388_YZ_24",0.0951875521865258,0.036997544480845,0.0989667109789264,0.0665649338712673,0.0882448379111395,0.0865391136232012,0.0889376042337723,0.832130919637336,0.568482193976761,0.191533936921075,0.116779110262203,0,0.141487239293524,0.490031898235278,0.304458192179265,0.832130919637336,0.568482193976761,0.191533936921075,0.116779110262203,0.14940378995611,0.860229242475769,0.196110916556147,0,0.267588172137735
"R3388_YZ_25",0.0977132631713849,0.0912084213789111,0.113985073261705,0.0979263028225319,0.0693644233279884,0.133039862128616,0.0781315230053828,0.84891641435066,0.4341226657179,0.197617484710879,0.0855949622945472,0,0.0967820253653871,0.309697606653909,0.0831429465094826,0.84891641435066,0.4341226657179,0.197617484710879,0.0855949622945472,0.105732475821213,0.634527278722687,0.19113485727709,0,0.110435510915086
"R3388_YZ_26",0.116462359079277,0.0603556540501311,0.0976257700978768,0.0505184388718597,0.0324739067959322,0.0753486339058212,0.0313473542839066,0.905737834741819,0.52376745962557,0.00503566763260448,0,0.0143297169938071,0.119401871857126,0.254979120112428,0.154669007363677,0.905737834741819,0.52376745962557,0.00503566763260448,0,0.113348427367107,0.839053522769792,0.00027427257067752,0.0236246813442787,0.15217476685974
"R3388_YZ_27",0.0958246881553676,0.0906367877182485,0.123897192736277,0.113424342805464,0.10159148711561,0.140650322280037,0.100433856096395,0.901980109615164,0.630776324821331,0.264162130482222,0.153767771393447,0.067488456228398,0.111843266019871,0.454698630734818,0.352488515153257,0.901980109615164,0.630776324821331,0.264162130482222,0.153767771393447,0.124034266967104,0.90491718145639,0.228968629911911,0.0497219268744629,0.284115769851588
"R3388_YZ_28",0.0588240893455835,0.0381760765731939,0.0891880551931726,0.0575797616510557,0.0602985734490419,0.0710348247917209,0.0673591192514972,0.842599025503836,0.66674920398742,0.122170311694824,0.101800962200466,0,0.0237376368039603,0.532405165495047,0.388200180079272,0.842599025503836,0.66674920398742,0.122170311694824,0.101800962200466,0.0506483567502279,0.648248183872478,0.0907544739507512,0,0.180301889577897
"R3388_YZ_29",0.0798652046449772,0.0107988702659927,0.09260133933294,0.0325278486049363,0.056522073052544,0.0519651772193789,0.057629907430598,0.689296407104112,0.423417015517699,0.1417567528275,0.0790640579946077,0,0.13319055554676,0.577367339478659,0.196060634361618,0.689296407104112,0.423417015517699,0.1417567528275,0.0790640579946077,0.156763638155282,0.717207264357958,0.099347527937945,0,0.287666508718879
"R3388_YZ_30",0.0422126568047529,0.0215273029917394,0.0914568050395208,0.0296306081672986,0.0303119635415414,0.039215376286413,0.0303812414815679,0.63721758479883,0.535453047955132,0.0674707115599784,0.0613811040253103,0,0.0434438382079301,0.3554909826147,0.300581635822903,0.63721758479883,0.535453047955132,0.0674707115599784,0.0613811040253103,0.086451845434358,0.808737948058462,0.0539335858274824,0,0.197996433299763
"R3388_YZ_31",0.0468834176534003,0.000773319497903575,0.0763579355170077,0.0142143006399426,0.0169007271452159,0.0308141088041279,0.0194335400781856,0.585720803529905,0.368920436470129,0.0518844864117688,0.0789419787152601,0,0.0942857649831369,0.268171203573656,0.0479733613391008,0.585720803529905,0.368920436470129,0.0518844864117688,0.0789419787152601,0.111840358068767,0.449058195647758,0.00340489818405828,0,0.243452892916169
"R3388_YZ_32",0.0626447895203109,0.0197905576327814,0.0901004331871387,0.0343173998258547,0.0385547740351714,0.0481298457485157,0.0419383813030566,0.764271016044579,0.491937485441954,0.0889952048836276,0.083601433626594,0,0.0941541476761538,0.280146216788465,0.132071070759041,0.764271016044579,0.491937485441954,0.0889952048836276,0.083601433626594,0.0979416967375508,0.739014011915548,0.0161608402086355,0,0.203579841697358
"R3388_YZ_33",0.0502859945018114,0,0.094175459166831,0.0252887664898886,0.0516030651600572,0.0459354637030371,0.0575048533430532,0.718221337594175,0.430467660772193,0.0783985684796168,0.109276014546664,0,0.109842132085884,0.475246576182554,0.155681631085619,0.718221337594175,0.430467660772193,0.0783985684796168,0.109276014546664,0.119086234240911,0.737067188327583,0.0767291057710793,0,0.304695908359386
"R3388_YZ_34",0.0396310650173463,0.041321172755166,0.125401941832505,0.0804533005737337,0.105314975083129,0.110619474395819,0.107405170539077,0.698046210258273,0.704614052627693,0.100390362825671,0.167707975715244,0,0.0644336206647299,0.449887640914163,0.386855242059941,0.698046210258273,0.704614052627693,0.100390362825671,0.167707975715244,0.0666870395069867,0.96964132231615,0.0366366173833066,0,0.35044017104791
"R3388_YZ_35",0.12099032616344,0.106905970232904,0.113934246326585,0.145291485783078,0.0869397735518357,0.19714234803098,0.0930169866329454,0.845547752387596,0.500060313902704,0.25692573245361,0.097991560800247,0.0404000768907608,0.135528124628399,0.427253045433095,0.196617112242952,0.845547752387596,0.500060313902704,0.25692573245361,0.097991560800247,0.135189369531312,0.733086418782993,0.271823330263519,0.0185752312219283,0.196127435000962
"R3388_YZ_36",0.0512252565187506,0.0130984460705183,0.067707337977396,0.0179633596346201,0.00953439632954966,0.0288259849306125,0.0160149889226732,0.707539796390957,0.393819032431883,0.0945240408401374,0.078724657656327,0,0.0869655014643864,0.400138548237957,0.122293249877352,0.707539796390957,0.393819032431883,0.0945240408401374,0.078724657656327,0.0977522373270113,0.850478267957029,0.0747544305945216,0,0.283770984058876
"R3388_YZ_37",0.0490387161394466,0.0206353818065566,0.0754917038835598,0.0251292187857562,0.0203539307464237,0.0388259618288319,0.0200646437100073,0.855663753817358,0.477865286851549,0.0117859378328538,0.0269735977344029,0,0.0462576299414959,0.325611159372235,0.0917259346359629,0.855663753817358,0.477865286851549,0.0117859378328538,0.0269735977344029,0.0544576533136833,0.749528595072593,0,0,0.118832272722091
"R3388_YZ_38",0.144405735705935,0.070193740268292,0.117542002038403,0.103567324032892,0.105011274662882,0.119511485137106,0.101395451588539,0.865783927348936,0.653248733081451,0.208710322817461,0.150801854970227,0.05400773282713,0.169308250606608,0.42658249147812,0.303430585077494,0.865783927348936,0.653248733081451,0.208710322817461,0.150801854970227,0.173594920421035,0.843753262594055,0.217741721539159,0.0576826927868441,0.285628252527208
"R3388_YZ_39",0.0766169902365868,0.082114159689787,0.113040553827042,0.109876036534295,0.0856195266721848,0.134220042220496,0.0966108346662713,0.840118708607766,0.580655704989037,0.163181089505931,0.129588440299816,0.00800951490447466,0.0893167922802932,0.338840738215665,0.272590830601247,0.840118708607766,0.580655704989037,0.163181089505931,0.129588440299816,0.106071381771908,0.788991008111619,0.170033823621353,0.0117633472742461,0.230538614580923
"R3388_YZ_40",0.109756339223866,0.0936068714289655,0.148093489339073,0.123592591575372,0.170559551599382,0.151755816799717,0.187479083827273,0.81708933136992,0.758904806132726,0.357909588775141,0.207054609879258,0.036565197189718,0.114022465749863,0.567221313621343,0.42766924276139,0.81708933136992,0.758904806132726,0.357909588775141,0.207054609879258,0.18404794145722,0.844447109901539,0.342377314858617,0.0655155034990274,0.280145512338329
"R3388_YZ_41",0.194595463711775,0.201497099675924,0.152372565450132,0.219336135572995,0.127357293068996,0.247859414848711,0.131855167406772,0.97817950468547,0.636162080834635,0.410472141114135,0.143236450796337,0.164910266402847,0.170681409273328,0.523358732401124,0.310776177316493,0.97817950468547,0.636162080834635,0.410472141114135,0.143236450796337,0.177182764999267,0.879877022462214,0.346257571169688,0.187535767664952,0.352701156554971
"R3388_YZ_42",0.0654717108748933,0.0321871836397745,0.109902386110259,0.0500775782702927,0.077370234135704,0.0632951054757998,0.0865588941162121,0.797728016814794,0.409155312422201,0.134537422826217,0.0907913946222814,0,0.0864188081102084,0.383328075960408,0.085783392072168,0.797728016814794,0.409155312422201,0.134537422826217,0.0907913946222814,0.118953491196858,0.868095144081963,0.0882321461003677,0,0.246963855491303
"R3388_YZ_43",0.0995355723637638,0.0512094494004836,0.101831337565182,0.0711547913639792,0.0649835238768706,0.0867799120236716,0.0733622254136092,0.819092102434456,0.462324512212704,0.101325178377755,0.0780041916336689,0.00453723292843708,0.129379865761404,0.299037264319934,0.109445043768022,0.819092102434456,0.462324512212704,0.101325178377755,0.0780041916336689,0.142820383182405,0.830381242430379,0.0967043552827293,0,0.156706194576326
"R3388_YZ_44",0.0482823681568619,0.0409506274867523,0.0990088618365433,0.0580210651785167,0.0478565487894268,0.0814067811189529,0.053987213428236,0.783171053278246,0.654065709498603,0.0911860165016121,0.108370597370749,0,0.0184976015357263,0.404362674012971,0.315663802792532,0.783171053278246,0.654065709498603,0.0911860165016121,0.108370597370749,0.0581355816044689,0.953386179614371,0.0692003069567056,0,0.149132890078673
"R3388_YZ_47",0.0409439843177002,0.0152424674039636,0.105509002038325,0.039619371860207,0.0583077569722427,0.0553937749751802,0.061396284420658,0.705944783129512,0.458533021358905,0.0883846236149809,0.0965489056632645,0,0.0839221158626302,0.419839780146093,0.207354468518912,0.705944783129512,0.458533021358905,0.0883846236149809,0.0965489056632645,0.0881989335406186,0.899647652526403,0.0752847632460856,0,0.236522337400754
"R3388_YZ_48",0.0541297324488355,0.00952439899353215,0.0616064853001293,0.0192990888726702,0,0.0508811774918982,0,0.727752033258054,0.38162911291069,0.0610203169322875,0.0799658589508481,0,0.0586918470083986,0.260179288496273,0.0945455098724136,0.727752033258054,0.38162911291069,0.0610203169322875,0.0799658589508481,0.0865025027618124,0.735091135890369,0.0326750496819923,0,0.269267685013391
"R3388_YZ_49",0.0711490064994121,0.0552697700379974,0.110451052925496,0.0818122673442453,0.0898868176884475,0.0996307790034304,0.0882307114930424,0.901165728938286,0.560650163251244,0.229354727021298,0.104518574526754,0.060447269118305,0.0817410782570326,0.503251744465049,0.228662267427938,0.901165728938286,0.560650163251244,0.229354727021298,0.104518574526754,0.0934452564991232,0.667099365509382,0.15968453865132,0.0786564908724792,0.26018197230247
"R3388_YZ_50",0.0821127768619875,0.0794911819448363,0.127760322005725,0.127191195715545,0.111874677782665,0.150902735874743,0.116335122723847,0.858212098994792,0.713275320394001,0.256404518249461,0.188923997629825,0.0599658241459124,0.109902828338938,0.4149174657694,0.40483326373674,0.858212098994792,0.713275320394001,0.256404518249461,0.188923997629825,0.142105272021712,0.778702478713418,0.197471714220618,0.0746366735184777,0.281969412796027
"R3388_YZ_51",0.0317975567717975,0.0346703592702695,0.105646965329332,0.0711908914434137,0.0785573031926063,0.115843002880864,0.0948787961975312,0.625503642641338,0.683848322985726,0.0824359511356678,0.160972218765182,0,0.0307826264674978,0.55802151321197,0.400428726792924,0.625503642641338,0.683848322985726,0.0824359511356678,0.160972218765182,0.0724584968828844,0.807410244617503,0,0,0.209354520592274
"R3388_YZ_52",0.0660091394898282,0.034530541682298,0.0934320376607587,0.0423430566716382,0.0373679594955081,0.0470314325133459,0.0367211516578473,0.922493020249148,0.587747188318567,0.103467453137159,0.074178033348928,0.00714115381124299,0.0674290883092391,0.30654260847121,0.265750977289327,0.922493020249148,0.587747188318567,0.103467453137159,0.074178033348928,0.0749950807595019,0.850412689660741,0.10530974396325,0.00695426633162423,0.228822062097856
"R3388_YZ_54",0.1570201117499,0.105234991881879,0.10522451535548,0.116177043856896,0.0590061726533351,0.122251977514584,0.0604575706475911,0.918172299761402,0.508521934610684,0.259462790575888,0.109957406006057,0.0991588468514857,0.162149752528052,0.385228666971261,0.196071190356879,0.918172299761402,0.508521934610684,0.259462790575888,0.109957406006057,0.163157290163392,0.826116293209617,0.258905544707108,0.0847077032190461,0.305898747599746
"R3388_YZ_55",0.0852663729022134,0.0365330780934126,0.0861206290917206,0.0543235281330656,0.045466200329972,0.0696336310679321,0.0619124709693978,0.811845007664536,0.527498880741392,0.154179740290996,0.0867936273805529,0,0.0779392240548929,0.466008181855239,0.183925856590148,0.811845007664536,0.527498880741392,0.154179740290996,0.0867936273805529,0.111819336682787,0.632766374541431,0.118791867000456,0.0100677488488055,0.232942138732152
"R3388_YZ_57",0.0334507252123525,0.0216638520446881,0.0795566422563757,0.0427467722193724,0.0250816370938698,0.0560292878018701,0.0262642819250661,0.503110533431364,0.579550032328241,0.0724217520284312,0.100535618917972,0,0.0561910214800054,0.483309977558588,0.36769893431057,0.503110533431364,0.579550032328241,0.0724217520284312,0.100535618917972,0.0714026775739403,0.682604927963395,0.0425474492248433,0,0.220854559790765
"R3388_YZ_58",0.058486382489511,0.0495836914597082,0.107551113517423,0.0876673203187564,0.0675420533858564,0.123109127243556,0.073809034019963,0.737805365112555,0.585666106161041,0.112613675962915,0.110540794017159,0,0.0993172069890209,0.652231259684081,0.360335479709836,0.737805365112555,0.585666106161041,0.112613675962915,0.110540794017159,0.119516188872906,0.794271464405806,0.0691282700411517,0,0.281636699372855
"R3388_YZ_60",0.0706650950223121,0.117996933737315,0.147070519010896,0.155432004595599,0.104965732975561,0.192122873373069,0.111861956950091,0.89877304349381,0.536428725845148,0.307071664244879,0.151414613269746,0.0425697479862417,0.10664143530073,0.413104848222551,0.255063810644659,0.89877304349381,0.536428725845148,0.307071664244879,0.151414613269746,0.110264500118103,0.951198705388837,0.266547324969753,0.0435136196744642,0.289511518336682
"R3388_YZ_61",0.0383257361871708,0,0.0825710882309424,0.00889737327879168,0.0175034135906422,0.0296521628905872,0.0164158959778941,0.769733875276191,0.447185536787715,0.0362643986460235,0.0677194105544662,0,0.0623411788085505,0.293155517281249,0.167135911121724,0.769733875276191,0.447185536787715,0.0362643986460235,0.0677194105544662,0.0976972934036556,0.879264184479844,0.00020119911628208,0,0.151209287768914
"R3388_YZ_62",0.0309556695905417,0.0322054678061058,0.11814792592704,0.074217687839127,0.102996976550958,0.0943805773041715,0.101679788991045,0.797730353679602,0.493593689048197,0.0430737217716823,0.103178445543422,0,0.0827077452619216,0.432382329751859,0.205588520581902,0.797730353679602,0.493593689048197,0.0430737217716823,0.103178445543422,0.0872811247452653,0.721034188129104,0.0306078489914551,0,0.191949305031934
"R4163_YZ_1",0.00830327192650934,0.056667200953654,0.158100434414253,0.0897479572403722,0.123371070919798,0.0962320003416269,0.133976983010555,0.707835207529889,0.572438611088264,0.231488740120985,0.176765526601903,0,0.0279276136947619,0.330136532868972,0.304533615521044,0.707835207529889,0.572438611088264,0.231488740120985,0.176765526601903,0.0439141250778026,0.569630539555651,0.200704486558421,0,0.237212142027604
"R4163_YZ_2",0.136930360621913,0.197452317690815,0.188874618027581,0.191278367227536,0.164159447049643,0.239302851219183,0.176148104373977,0.60448893947405,0.66442223088894,0.371069191912234,0.153136070671027,0.0294264019362543,0.0762579817989777,0.310820894299101,0.206844903576883,0.60448893947405,0.66442223088894,0.371069191912234,0.153136070671027,0.0720230278291146,0.688389912884298,0.348224186720806,0.0372436068515625,0.0920083416767188
"R4163_YZ_3",0.247417303659892,0.308062653448579,0.264981612536719,0.291722613312569,0.247949047539169,0.305191231105033,0.273040698589182,0.841680355761332,0.794693980423892,0.575472458194676,0.270216726158847,0.166479321712213,0.27618052216873,0.439287385264572,0.444093598908831,0.841680355761332,0.794693980423892,0.575472458194676,0.270216726158847,0.286098262658938,0.878118135631027,0.563777750644127,0.178886296472014,0.226061057104604
"R4163_YZ_5",0.0883973436723354,0.138113395493251,0.154408699991031,0.145718064737397,0.110975741911905,0.150948039213312,0.116245606099524,0.920169738680434,0.814229557435576,0.349465109687781,0.19437515816554,0.0218444641246258,0.0502626499369296,0.165637894638544,0.38946527199233,0.920169738680434,0.814229557435576,0.349465109687781,0.19437515816554,0.0908719049729335,0.853417310608676,0.351979561698885,0.0241214410516058,0.147488648850403
"R4163_YZ_7",0.0580508769719304,0.0588542967170336,0.133028541393881,0.0699210605699355,0.0811573632871517,0.0879106860817074,0.0939974815988606,0.740302820925139,0.544911219054626,0.265185557944857,0.153622180064315,0,0.0689956578053425,0.343693642511406,0.341223075732886,0.740302820925139,0.544911219054626,0.265185557944857,0.153622180064315,0.0774022476845654,0.771917808810558,0.169826789891151,0,0.252633910033161
"R4163_YZ_8",0.0340405502474028,0.175090892628744,0.180306810519561,0.18613667673697,0.153243885593635,0.22697757694133,0.16255068452449,0.286172290708125,0.490892371445149,0.228319338242483,0.127705205102869,0.00816021244782688,0,0.259824707877043,0.0506325645069317,0.286172290708125,0.490892371445149,0.228319338242483,0.127705205102869,0,0.454244649705665,0.202445832155769,0,0
"R4163_YZ_9",0.0327592885161233,0.0380128279693413,0.124554981281323,0.0678499924877281,0.0945889867980137,0.0813050841502235,0.0953583683704993,0.854651767706494,0.807654650063967,0.18083636284655,0.207650678568942,0,0.0272725291730846,0.243685638956108,0.36489004158366,0.854651767706494,0.807654650063967,0.18083636284655,0.207650678568942,0.0360012865805791,0.913861388373481,0.141790733609905,0,0.148362094690377
"R4163_YZ_16",0.0417582033949879,0.0285232058408962,0.127192100263702,0.036818888788604,0.0752515259077868,0.0476949675511463,0.0907099386068468,0.906286566082368,0.555961081599866,0.018845720621973,0.0813022393999951,0,0.0401849393370568,0.194888307967186,0.131572381494577,0.906286566082368,0.555961081599866,0.018845720621973,0.0813022393999951,0.0528744098044633,0.742125667029768,0.010394443376849,0,0.122635431655073
