"","Epidish_CBSX_sigmatrix_HNSCC_Fig2cd_Dendritic.cells","DeconRNASeq_CBSX_sigmatrix_HNSCC_Fig2cd_Dendritic.cells","Epidish_CCLE_TIL10_Dendritic.cells","Epidish_TIL10_Dendritic.cells","DeconRNASeq_TIL10_Dendritic.cells","CBSX__LM22__Dendritic_cells_activated","CBSX__HNSCC__Dendritic_cells","CBSX__TIL10__Dendritic.cells","CBSX__CCLE.TIL10__Dendritic.cells"
"LP.01.25",0.0157637139875691,0.0230001297789596,0,0.0113805041370209,0.0289053542819007,0.0344422458496192,0.0704762473679185,0,0.0835707463274078
"LP.01.28",0.0349310447772413,0.0112511471895238,0,0,0.0481600489648577,0.0292277305292382,0.0215151060400001,0,0
"LP.01.31",0.104308154469827,0.0445928169998183,0,0,0.0332674589668181,0.0416523926080511,0.125605940128352,0.106049360180349,0
"LP.01.32",0.133172275754703,0.0499619269556322,0,0,0.026384302608195,0.057338462540423,0.137168407897823,0,0
"LP.01.34",0.0769410372636192,0.0514406426515933,0,0.0374440785519163,0,0.0409067987096437,0.0662583375210261,0.066650243503904,0
"LP.01.35",0.0422497502013165,0.0409107323858766,0.0158172812547239,0.00672342461733883,0.00660221528786683,0.00865354984975318,0.0356315842897336,0,0.0167079406403901
"LP.01.40",0.309678490211326,0.0539569735614477,0,0,0.00927013480888754,0.111366227019555,0.328042573350222,0.118309355227227,0.0287283833180171
"LP.01.42",0.195401732795686,0.0562257275412316,0,0,0,0.0432153723403817,0.183430587353719,0.196641107863406,0.0176357654867011
"LP.01.46",0.147134314496734,0.0599561600587969,0.0585333112673962,0.134503128587382,0.0207298314915068,0.0894817230882084,0.158056913219133,0.20781402485839,0.0545580165128424
"LP.01.47",0.231819205805056,0.0817262416413335,0,0,0,0.113535900455744,0.248993426361261,0.107479760718515,0
"LP.01.57",0.210535233131308,0.0683399351270467,0,0,0.0272665085221159,0.0271204869357057,0.200373798902707,0.0383226056715481,0.0641536774727907
"LP.01.58",0.116859899111572,0.0440318245057699,0,0,0,0.0468732179392284,0.104523719837983,0,0
"LP.01.61",0.299639074581816,0.0718417749968212,0,0,0.0496932159191883,0.169907815017384,0.285305351508405,0.0368887413750004,0
"LP.01.64",0.25787571981506,0.0641912077665146,0,0,0,0.099346849173226,0.288669792189215,0,0
"LP.01.66",0.0677629730947393,0.0339766074359234,0.0285357816751805,0.121990369084139,0.0202964087563293,0.0252040488089044,0.0924295525400263,0,0
"LP.01.67",0.143430055821626,0.0677544419031381,0,0,0.0131256274281958,0.0329904492347279,0.1431727181159,0,0
"LP.01.68",0,0.0178448992559164,0,0,0.0638779124786132,0.014428366182344,0,0.161552374831442,0
"Test.FFPE.01",0.117953670480082,0.0635294842624033,0,0,0,0.0474228245855345,0.117682680481755,0.115932140971674,0.0432273763062198
"Test.FFPE.02",0.00281686451881851,0.0315291662841754,0,0,4.68929224211739e-05,0.0374668001186864,0,0,0
"Test.FFPE.03",0,0.000818174904627947,0.00492539534952355,0,0,0.023893838048601,0,0,0.0661500599390461
"Test.FFPE.04",0,0.0257671300158676,0.0245479737653163,0,0.0025867482962703,0.0228832838089498,0,0.0911988420669176,0
"Test.FFPE.05",0.0651273667080025,0.0367573452560153,0,0,0,0.0130061612632083,0.0667131672432847,0.0167314502836428,0.00941261814358569
"Test.FFPE.06",0.0520137459800669,0.0298229725999897,0,0,0,0.0153303087479701,0.0672167383038677,0.24357223148524,0.0613350503317611
"Test.FFPE.08",0.0688478665376461,0.042359635339079,0.0126953669221724,0.0710458358196652,0.00232009082524524,0.0561940202896543,0.0987653926035899,0,0.201583618916923
"Test.FFPE.09",0.0924954041000826,0.0464567970909508,0,0,0,0.0735149169891831,0.0803463533978662,0,0
"Test.FFPE.10",0.0044276361360215,0.0332894191916179,0,0,0.0364381284840043,0.0206639682766006,0.0185729282200654,0.312883232939626,0.206268601884339
"R3388_YZ_1",0.0199411590019603,0.0771427978031794,0,0,0.0346464405718016,0.0297411135531386,0.00604472422929013,0,0
"R3388_YZ_2",0.0169070377571906,0.0714195762906941,0,0,0.0311330807602683,0.00252740946581299,0.0278398893650636,0,0
"R3388_YZ_3",0.0159871906110777,0.0629432109764519,0,0,0,0.0169830357149599,0.0302159827497965,0,0
"R3388_YZ_4",0.0789613905150436,0.0877785105443383,0,0,0.0153105867014052,0.0261549694440148,0.10431762104504,0,0
"R3388_YZ_5",0.020984155952535,0.0729060239050312,0.0264457537065759,0,0,0.00315506026524132,0.0382883978836579,0.138997095849263,0.0382727287433715
"R3388_YZ_6",0.0880675314504471,0.0928645949520978,0,0,0.0508156015902257,0.0382173264232672,0.137144908938852,0,0.13240927749467
"R3388_YZ_7",0.0196585353100669,0.0617376650324913,0,0,0,0.0123818062184877,0.0224403178188867,0,0
"R3388_YZ_9",0.167330207091046,0.0864340928841549,0,0.0493857020344979,0,0,0.180765348204494,0.142649622603375,0.0460516790938307
"R3388_YZ_10",0.00845135822918833,0.0704179765966703,0,0,0.00447623783346491,0.0161988537993184,0.0201646395731437,0,0.0377888981421309
"R3388_YZ_11",0.0790513695094157,0.0877450672870576,0.00929675377697301,0,0.0314493601805214,0.00411941884365055,0.088478148112865,0.0646168027481812,0.0267847843105825
"R3388_YZ_12",0.0231270750335901,0.0766669387244344,0.108457782714006,0,0,0.0055475839510152,0.0171853694116037,0,0
"R3388_YZ_13",0.133314777301453,0.094692047775867,0,0,0.0413125544636951,0.148733651343079,0.138663920515268,0.127445774349381,0
"R3388_YZ_14",0.173513143816305,0.091942756228181,0.167528995816446,0.30383456655847,0,0.0206369390222769,0.213777391863067,0.222016676266259,0.0830948167104507
"R3388_YZ_15",0.0124085654477385,0.0764546092272178,0,0,0.0117932923069318,0.0488531944717318,0,0,0
"R3388_YZ_16",0.085969236790605,0.0945195358965095,0,0,0.0593089340396459,0.00757904556386012,0.136255531340453,0.216126038294613,0
"R3388_YZ_17",0.119530995475124,0.0835108351338496,0.062998805049362,0.0242480193731581,0,0.055595384312295,0.163227597914662,0.0769597676644443,0.0949233040516777
"R3388_YZ_19",0,0.0680964628743834,0.0508827983190492,0.00542772711546195,0.0126969279368754,0.00475392311611554,0,0,0.0570465381110459
"R3388_YZ_20",0.0232707278279859,0.0761501356328549,0,0.00412794605803517,0,9.998166912591e-05,0.0618419276383326,0,0.0938021880632754
"R3388_YZ_21",0.0559924517066636,0.0737130653349847,0.00145920020744949,0,0,0.00874857851630885,0.0556435046269496,0,0
"R3388_YZ_23",0,0.0800597744966802,0,0,0,0.0251712293081966,0.0167621756761836,0,0
"R3388_YZ_24",0.0692389685229129,0.0849232230654936,0,0,0.0558182642692514,0,0.101223758241822,0.0721909161282952,0
"R3388_YZ_25",0.102482248074372,0.0785144383662408,0,0,0,0,0.0573766409956875,0,0
"R3388_YZ_26",0.107466389064226,0.0834785211051104,0.0583315640662814,0.224909119966433,0.037451240856699,0.01066210461696,0.163263273333944,0.00573253967567909,0
"R3388_YZ_27",0.0926886859793311,0.0869621719835858,0,0,0.0484013738851682,0.0159250862976388,0.0693721346849379,0.21923803232499,0
"R3388_YZ_28",0.0601122146916146,0.0775559076142395,0.0618788405942509,0.127901625038212,0,0,0.103884178269059,0.173975059136694,0.0182983003127284
"R3388_YZ_29",0.0921180603416914,0.082671060525251,0.000372433518685448,0,0.0426913080345027,0.0111040975484152,0.0988604518150264,0.297865125190382,0.00535202416551758
"R3388_YZ_30",0.0658816211504047,0.077541875881212,0,0,0,0.0538439772272022,0.0863470730281253,0,0.0511112758786592
"R3388_YZ_31",0.0044991355622087,0.0767118374792346,0.0558871676217378,0.0221210681642266,0.0195046070955573,0.0230860764366606,0.0100767054872076,0.152848703379261,0.0858601856241969
"R3388_YZ_32",0.00335544551445214,0.0707252817882979,0.145295490122572,0,0.0517237962745499,0.0659166008506253,0.0287227470876945,0,0.161395690666218
"R3388_YZ_33",0.00510797497267195,0.0822893081131798,0,0,0.0315669089273522,0.00685793492459007,0,0.38687812793862,0
"R3388_YZ_34",0.0396093638792533,0.0759913992666148,0,0,0,0.0313507377974298,0.038784592356899,0.0625391439035394,0.186432514069597
"R3388_YZ_35",0.105926964748678,0.0871806719759688,0.114984127968455,0.0619370137073211,0,0,0.0961471093208699,0.0182285530710111,0
"R3388_YZ_36",0.0249264779832338,0.0750384183454771,0,0,0,0.0195120245285911,0.00908768237865993,0,0
"R3388_YZ_37",0.0855662852936855,0.082716015814613,0,0,0.0212086305266891,0,0.135428908367606,0.136926181547009,0
"R3388_YZ_38",0.161655625395546,0.0953936897708569,0.0728498243491478,0.11646753075707,0.0448674799853925,0.00786705999583742,0.166735161252114,0.0924856054259846,0.0735311875517267
"R3388_YZ_39",0.091929161817859,0.0843509765947423,0.0248602117357864,0,0.0143068602643715,0.0299501179563054,0.102076503409591,0.157135821227307,0
"R3388_YZ_40",0.0945751604052625,0.0823055552284028,0,0.0826488862775759,0.00277412288628342,0.0160577429636332,0.121069910363026,0.0665302585003446,0.0102496962217128
"R3388_YZ_41",0.0882021725708873,0.0798815065185574,0,0,0.0403337920651018,0.0274725554843132,0.0768377276681542,0.0118431599861678,0.0646162643814054
"R3388_YZ_42",0.0894396359812305,0.0868221639781376,0.025316393789666,0,0.0114794477234624,0.0321204092259074,0.105445659077461,0.282596804068165,0.119551735935055
"R3388_YZ_43",0.0462653306633144,0.078568295292633,0,0,0.0225843725690522,0.0246937679273298,0.0813086266590187,0,0
"R3388_YZ_44",0.157924830102704,0.0879290995678592,0.0383132227576314,0.114219226246456,0,0,0.162354047642195,0.202092571540918,0.0782383013206908
"R3388_YZ_47",0.0370297542389997,0.0767488634694091,0.019547719240807,0,0.0320312297660985,0.00781476976962073,0.0366290834956628,0.075333934440842,0.020519454133922
"R3388_YZ_48",0.0365480229259086,0.0741915550748442,0,0,0,0.0285258279618705,0.037537522066261,0,0
"R3388_YZ_49",0.136178523630761,0.0856972834167964,0,0,0,0.078201951361041,0.113790718369819,0.140724172645932,0
"R3388_YZ_50",0.070462878983384,0.0951870282839897,0.0339329644715762,0,0.0269385970071333,0.0640719721064253,0.120109550919761,0,0.0277357177128757
"R3388_YZ_51",0.140425875079776,0.0927165144377166,0,0.0316030150500521,0,0.0416298088440741,0.139157536118274,0.21017647931922,0.164349593929996
"R3388_YZ_52",0.0344926583012658,0.0772062707121704,0,0,0,0,0.0231111771902564,0,0
"R3388_YZ_54",0.0779648631346834,0.0771355400461582,0.0056365634784795,0,0,0.0336165298280043,0.0885172681372471,0,0
"R3388_YZ_55",0.0601978936246446,0.0835053951127466,0.113925021443813,0.236094332073527,0,0,0.0369716210113825,0.275041037857866,0.116453421909021
"R3388_YZ_57",0.0195877614953672,0.0673947630967573,0,0,0,0.0357916297050843,0.02036808434825,0,0
"R3388_YZ_58",0.0317667813279924,0.0759544733305148,0.0995688695592597,0.147038897411093,0.0469117855688781,0,0.101385667417048,0.322871313321761,0.212607405487197
"R3388_YZ_60",0.09681683946865,0.0827636293962009,0,0,0.028138247515089,0.0112395929604976,0.108440022574064,0.205391348528194,0
"R3388_YZ_61",0.0247635921890421,0.0763137536617124,0.0687953808028908,0.0701346112774789,0.00501025889141025,0.0053416803184209,0.034068063742466,0.175095851092502,0.0909165989960992
"R3388_YZ_62",0,0.0724367829017221,0.0245519418794004,0,0,0.0146542121772899,0.00976508659082872,0,0.0235151888387003
"R4163_YZ_1",0.0437307692893879,0.0820933254711201,0.0706715255179574,0.101880211932075,0,0.0473571929878366,0.125191293647529,0.149702490483158,0.0773853096456127
"R4163_YZ_2",0.0751054037752731,0.0890386853892772,0.0303917475357404,0.0324818682597818,0,0.0337977314819504,0.0754113080056133,0.00494185090816432,0.0352415686862853
"R4163_YZ_3",0.175916837001542,0.125520449449732,0.0159718286419419,0.0125067261823921,0,0.0183784256723506,0.151354879370101,0.00728598709028268,0
"R4163_YZ_5",0.13508635169281,0.108302921920592,0.0430948480367509,0.0338993525372095,0,0.0370580319409828,0.127192245948881,0.0534594350596582,0.0230209082200929
"R4163_YZ_7",0.105615924298187,0.0869684580015896,0,0,0,0.0168902254380754,0.141775334665326,0.00544488498132528,0
"R4163_YZ_8",0.0490998509468669,0.0561270747328034,0.0668929570709193,0.0808951348309926,0,0.0307521823973644,0.0399008273443135,0.0597574108029171,0.0496252782875425
"R4163_YZ_9",0.10571819753049,0.105756547205005,0.00656570457684652,0,0.00517892438220418,0.0429827596445483,0.122442976991461,0.0754467025834372,0.0420209260404061
"R4163_YZ_16",0.146134747220078,0.0954615155320146,0.153566732579433,0.173827004784617,0,0.079139738811508,0.167048214805478,0.192347768246719,0.153379886707067
"R4163_YZ_17",0.0391819664984049,0.0761412827988767,0.0616010719361682,0.104122059446674,0.00255287309356679,0.0234160170052694,0.0594708869591931,0.0978687312246971,0.0666747512760468
"R4163_YZ_18",0.102085628413799,0.0772232824045566,0.0275142483484084,0.00561195425086556,0,0.0179272514661102,0.103938823856684,0,0.0481092537505282
"R4163_YZ_19",0.104696543398758,0.129600514578526,0,0,0,0.0341421164994456,0.121630153086365,0.0128897085839868,0
"R4163_YZ_20",0.102853361467743,0.0849206961063932,0.0545578849168088,0.0676164284195769,0,0.0478709850286028,0.0870235728044027,0.090382281377606,0.0594093962468037
"R4163_YZ_21",0.0720831168313888,0.0734742419188279,0.149742055092187,0.125813168273166,0,0.14279204850726,0.0538141664824205,0.0421828109085097,0.136455886750583
"R4163_YZ_22",0.0550907957420676,0.0758616432234058,0,0,0,0.0716777349827656,0.0969788123622182,0.0063003899212292,0
"R4163_YZ_23",0.168034534126149,0.120556767300677,0.0653035858088564,0.058942771974941,0,0.033623152031891,0.188623139108542,0.0904147755335742,0.122826931595102
"R4163_YZ_25",0.12421984793938,0.133779156538912,0,0.0151699798553841,0,0.0746731480727793,0.11969151726379,0,0
"R4163_YZ_26",0.0343344573026933,0.0778078683926672,0.0122353633094683,0,0,0.0739209744672537,0.0227780085867133,0,0.0351494908786643
"R4163_YZ_28",0.123325972429045,0.0968387909471222,0.00966948319563287,0.0167500686537036,0,0.0363012797037836,0.126169383879531,0.013009195764151,0.0294895967005681
