"","Quantiseq_Neutrophil","Epidish_CCLE_TIL10_Neutrophils","DeconRNASeq_CCLE_TIL10_Neutrophils","DeconRNASeq_TIL10_Neutrophils","CBSX__TIL10__Neutrophils","CBSX__CCLE.TIL10__Neutrophils"
"LP.01.01",0.0698831243847122,0.0112671827812448,0.129758125146758,0.126301195901344,0,0.00981025254609754
"LP.01.02",0.0927684704453419,0.0573207890564808,0.260965355426164,0.24660406491735,0,0.0407723905440106
"LP.01.03",0.174647983383458,0.0169157166756224,0.287179676287706,0.277112014671571,0.0332791127212046,0.00392993495222103
"LP.01.04",0.0353855506581674,0,0.112854238286068,0.134470742395576,0.038727505035266,0.0174502826003612
"LP.01.08",0.0518427927329324,0,0.145550630120325,0.150641468933295,0,0
"LP.01.10",0.104070498325479,0.0366896493730888,0.117778782536951,0.124616773702153,0,0.00288543797781544
"LP.01.12",0.130135958475521,0.0194636188971141,0.228202430201227,0.209235012872728,0,0.0238018368432574
"LP.01.14",0.0818973207979014,0,0.0834310569641921,0.0945900389794455,0,0
"LP.01.15",0.106020116121393,0.00262466954598753,0.247516143095234,0.268665576355416,0.0548005909359303,0.0324379149030885
"LP.01.16",0.0724519762785434,0.0295285754477911,0.118077697247003,0.142576860374288,0.00198604951704278,0.0081767592946788
"LP.01.18",0.102921443498443,0.0126122011337473,0.203633421359585,0.222157306975554,0.0128018010926988,0.0104560664214478
"LP.01.19",0.121923729358185,0.00439997474391141,0.190208486715419,0.184428203253206,0.0160382033278129,0
"LP.01.20",0.0810666257860376,0.0408215282329159,0.184757882934022,0.19158580148081,0,0
"LP.01.22",0.0278206993247659,0.0297104802175267,0.14275054333264,0.152147050354646,0,0
"LP.01.23",0.085760710200603,0.0298122954160898,0.167867347435736,0.176649813410808,0,0
"LP.01.24",0.12325150637543,0.0847570058170338,0.266047592438148,0.256550528422619,0,0.00972871407357381
"LP.01.25",0.108357435840347,0.00425676158419029,0.244867298017104,0.243054477352967,0.00149885056989221,0.0454460363554002
"LP.01.28",0.0726274765233949,0.0611388236555625,0.196176779862067,0.186653637119554,0,0.030633634280892
"LP.01.31",0.0534523964787494,0.0288631008302755,0.126015534527029,0.128738374172833,0,0
"LP.01.32",0.0655749870052223,0,0.181646404079967,0.206801134561586,0,0
"LP.01.34",0.0809230528854545,0.000398345392165996,0.0774312243334811,0.0941440860571058,0.00717584579227821,0
"LP.01.35",0.0692672690215002,0.00251370499355462,0.158211002704521,0.152648820392003,0,0
"LP.01.40",0.0999115799983301,0.0261702225706621,0.148745752985854,0.207568521017446,0.0432264731970809,0.018658424223252
"LP.01.42",0.0625258522320965,0,0.0986846293544127,0.127943726032794,0.00462174744075934,0.00040084186728149
"LP.01.46",0.0465860960089723,0.0117703189390443,0.121817342457162,0.129650349926123,0,0.0106531305102321
"LP.01.47",0.0921220851012238,0.0113731008040365,0.122372188746124,0.123829240671662,0,0
"LP.01.57",0.0662554947270102,0.000500389853296428,0.203390722843868,0.205991596432557,0.00095800817820981,0
"LP.01.58",0.0894288382156369,0,0.156393916407359,0.185161932954159,0,0.00900913402490069
"LP.01.61",0.0393398557785985,0,0.124718718200795,0.180502237071878,0.104498166430131,0
"LP.01.64",0.0485043384929621,0,0.114872200476775,0.167725058921177,0,0
"LP.01.66",0.0411641775667481,0,0.122689437176657,0.139579594356293,0,0
"LP.01.67",0.145220911154674,0.0474154123180983,0.26015435125751,0.251515322956259,0,0.046036005015167
"LP.01.68",0.16216977364694,0.0370039197829675,0.296442832022076,0.287039515963846,0.0282293333818798,0
"Test.FFPE.01",0.0938891146974792,0.0197572723683916,0.148078246879573,0.203514058443599,0.0834238694531212,0.0402129892940377
"Test.FFPE.02",0.0551489017854905,0.0023265920897291,0.10528969701252,0.118379860938318,0,0
"Test.FFPE.03",0.0981831045562771,0.0203246861989671,0.0874524379325434,0.0868250487126771,0,0.00826997530062575
"Test.FFPE.04",0.106830930799696,0.0267406450591642,0.165624388797451,0.187284749213078,0,0
"Test.FFPE.05",0.061037412136671,0,0.0839142219733768,0.0941059283908543,0.00244248027859719,0
"Test.FFPE.06",0.0996411410883195,0.0333722541905389,0.137287697144561,0.178524854152407,0.0483572531482813,0.0175976031917238
"Test.FFPE.08",0.0275949445688181,0,0.0864461044771889,0.11232718013831,0,0
"Test.FFPE.09",0.201786635536236,0,0.137591600199689,0.172568735446527,0,0
"Test.FFPE.10",0.0893070158992029,0,0.197134095142234,0.213505764012627,0,0
"R3388_YZ_1",0.146748815277548,0.0349448152441095,0.251758820491714,0.227765146736528,0,0.0235077809318319
