"","Quantiseq_Macrophage_M1","DeconRNASeq_BPRNACan_M1","DeconRNASeq_BPRNACan3DProMet_M1","DeconRNASeq_BPRNACanProMet_M1","Epidish_CBSX_LM22_Macrophages.M1","DeconRNASeq_CBSX_LM22_Macrophages.M1","Epidish_CCLE_TIL10_Macrophages.M1","DeconRNASeq_CCLE_TIL10_Macrophages.M1","Epidish_CD226_M1","DeconRNASeq_CD226_M1","Epidish_LM22_Macrophages.M1","DeconRNASeq_LM22_Macrophages.M1","Epidish_TIL10_Macrophages.M1","DeconRNASeq_TIL10_Macrophages.M1","CBSX__LM22__Macrophages_M1","CBSX__TIL10__Macrophages.M1","CBSX__CCLE.TIL10__Macrophages.M1","CBSX__CD226__M1"
"R3388_YZ_1",0.0377986387738347,0.0898545713586563,0.124460931007814,0.120198920034416,0,0.0309012072993482,0.29775670053967,0.23511573115306,0.264684995140664,0.261911028789641,0,0.0309012072993482,0.632555866020133,0.219873722792973,0.00137226339399956,0.389932759881671,0.243291415330255,0.253805681001624
"R3388_YZ_2",0.0660855094751563,0.093406695401192,0.119431932944246,0.117776315123181,0.0616684364383928,0.200047299393114,0.114443919209326,0.245637828464452,0.339403168256323,0.273108875077256,0.0616684364383928,0.200047299393114,0.266048231645043,0.228277625055938,0.0853516634341043,0.134562816664084,0.139785336767578,0.307031157007442
"R3388_YZ_3",0.0966389470010986,0.0957679239658437,0.132951132611432,0.129539786162649,0,0.0428794072881988,0.53746475909893,0.282375154056287,0.243507427769402,0.195637409686785,0,0.0428794072881988,0.890174687837566,0.270874925158063,0,0.570755538275479,0.513986565232323,0.301819069206753
"R3388_YZ_4",0.0267844933508226,0.0718156081624364,0.0877924717477258,0.0814902956057209,0.00945415293170993,0.0910799837184251,0.116790895324085,0.099864644275064,0.282988607982237,0.23414666285401,0.00945415293170993,0.0910799837184251,0.173435863742383,0.127115538122503,0.00850593821501115,0.171375470158074,0.0827092144405726,0.219184352850952
"R3388_YZ_5",0.0376158400147839,0.0716426495361043,0.0984559588939249,0.0937593811273497,0.0260787915703672,0.0759704768502863,0.232112390456704,0.173978993909083,0.201725772981089,0.235952383039082,0.0260787915703672,0.0759704768502863,0.294463207369043,0.199560357086856,0.0195918529597919,0.244703817165508,0.204937965169836,0.350216380232972
"R3388_YZ_6",0.12007687592786,0.0967947663754363,0.13604285874423,0.129483783415933,0.0128185976704656,0.0572115070464978,0.163490508463998,0.171668448794756,0.24218096138791,0.169916186660087,0.0128185976704656,0.0572115070464978,0.354438342340445,0.164823097763051,0.0292478535161393,0.275842876849627,0.205440395847812,0.315358682758569
"R3388_YZ_7",0.167355463354082,0.0941419065239106,0.125950787617947,0.122939983373626,0.0119836596715866,0.0433694801128039,0.299860597701198,0.315869941989249,0.289602178822156,0.229959204157743,0.0119836596715866,0.0433694801128039,0.853865059384104,0.297540096874741,0.0151206681009105,0.42667806257114,0.26712213655059,0.267494468024632
"R3388_YZ_9",0.139085254860193,0.0633202824949532,0.0837557517276545,0.0807596536412252,0.0784380873395237,0.179064359079851,0.42823584930131,0.383929259117707,0.337055678808719,0.333082775102325,0.0784380873395237,0.179064359079851,0.805929321356796,0.474249773684108,0.0967400253088576,0.777477651357285,0.369245170007074,0.271348301852941
"R3388_YZ_10",0.033457932136462,0.0962638507419712,0.130726535638986,0.126418636663557,0.0129784066807695,0.0504677126428731,0.125557237158222,0.243470234280059,0.147512896317488,0.202312756612793,0.0129784066807695,0.0504677126428731,0.145178469764834,0.217865246986728,0.0155544257791397,0.0710956212170076,0.142168239464127,0.301415868066166
"R3388_YZ_11",0.0165685486857738,0.0803874448598376,0.108596434522698,0.100536478494044,0.00394024355000297,0.0695903937956895,0.178195180087542,0.0849000540024443,0.319164453435956,0.248208076860642,0.00394024355000297,0.0695903937956895,0.283721819318882,0.0925874930890025,0.00945349219181686,0.228827138836303,0.159065269015464,0.306124949341303
"R3388_YZ_12",0.253649343668386,0.0742095130878976,0.0961265728466892,0.0910322014908094,0.00128687485654384,0.0483790745154046,0.624399189095559,0.506754167197795,0.443922159184882,0.361630112865982,0.00128687485654384,0.0483790745154046,0.945724962272683,0.493896573229114,0.0111974741745493,0.564262818939706,0.643035317298799,0.39611952798126
"R3388_YZ_13",0.0399217548184261,0.0715577303926963,0.097271330693105,0.0914737141906017,0,0,0.356996962320827,0.158819167339141,0.281278926524855,0.264159311425806,0,0,0.776790964408062,0.163200153395197,0,0.418932009898854,0.403845460749858,0.231084056669475
"R3388_YZ_14",0.147776860632374,0.0885234282678182,0.0997596859546419,0.0923163340619986,0.0312981886240108,0.113646134704265,0.277525087659905,0.358954624569128,0.254099896742727,0.165098091696089,0.0312981886240108,0.113646134704265,0.33461021274476,0.33914766762606,0.0370458870029614,0.394419879811734,0.293053117929826,0.359055993382109
"R3388_YZ_15",0.0763477967620793,0.0715388267781987,0.104682750586909,0.104654203711608,0,0.0823946586438928,0.378539759667498,0.237825464647736,0.152206270201238,0.204706524289804,0,0.0823946586438928,0.747721259214407,0.237374184988082,0,0.369664068640177,0.361946693182143,0.223479367324972
"R3388_YZ_16",0.0460267202089901,0.0973974447082014,0.12126539073555,0.116903357580408,0.0142479067754081,0.0324567623329238,0.202087644116548,0.187329389412064,0.254772828482356,0.276789499780373,0.0142479067754081,0.0324567623329238,0.475819041972127,0.171756226575633,0.0126718712901109,0.310170605453666,0.333792039339864,0.289029822294657
"R3388_YZ_17",0.0536001816217224,0.0676350615789401,0.10475536947084,0.101304613990698,0.0212456409630214,0.0458696072613355,0.293039941088785,0.286515890369775,0.17932068648051,0.21884540037818,0.0212456409630214,0.0458696072613355,0.360158309225808,0.276736558401635,0.0206242395059423,0.254238401553278,0.244163346862679,0.380858744168347
"R3388_YZ_19",0.0507439666675886,0.057490653956681,0.0807151601426981,0.0837043632264067,0.0433932481591979,0.0877698872022389,0.438649745325503,0.25091767155665,0.281864662184259,0.190938640830176,0.0433932481591979,0.0877698872022389,0.952552041556872,0.28244367591093,0.0467059211810781,0.694482780778799,0.373787586323661,0.19820515789866
