"","CBSX_cd226.signature_B","CBSX_nsclc.scRNAseq_B","DeconRNASeq_til10.signature_B","DeconRNASeq_bprnacan.signature_B","Epidish_cd226.signature_B","Epidish_nsclc.scRnaPbmc.signature_B","B_Subgroup_1","B_Subgroup_2","B_Subgroup_4","DeconRNASeq_LM22_B.NAIVE","B.NAIVE_Subgroup_1","DeconRNASeq_LM22_B.MEMORY","B.MEMORY_Subgroup_1","DeconRNASeq_hnscc.signature_MACROPHAGES","DeconRNASeq_melanoma.Tirosh.signature_MACROPHAGES","CBSX_ccle.til10_MACROPHAGES","CBSX_cd226.signature_MACROPHAGES","DeconRNASeq_LM22_MACROPHAGES","DeconRNASeq_cd226.signature_MACROPHAGES","DeconRNASeq_til10.signature_MACROPHAGES","DeconRNASeq_bprnacan.signature_MACROPHAGES","Epidish_cd226.signature_MACROPHAGES","MACROPHAGES_Subgroup_1","MACROPHAGES_Subgroup_2","MACROPHAGES_Subgroup_3","MACROPHAGES_Subgroup_4","DeconRNASeq_LM22_M0","M0_Subgroup_1","CBSX_ccle.til10_M1","CBSX_cd226.signature_M1","Quantiseq_no.Signature_MACROPHAGE.M1","DeconRNASeq_cd226.signature_M1","DeconRNASeq_til10.signature_M1","Epidish_cd226.signature_M1","M1_Subgroup_1","M1_Subgroup_2","CBSX_ccle.til10_M2","CBSX_cd226.signature_M2","CBSX_til10.signature_M2","Quantiseq_no.Signature_MACROPHAGE.M2","DeconRNASeq_LM22_M2","DeconRNASeq_cd226.signature_M2","DeconRNASeq_til10.signature_M2","DeconRNASeq_bprnacan.signature_M2","Epidish_til10.signature_M2","M2_Subgroup_1","CBSX_ccle.til10_MONOCYTES","CBSX_cd226.signature_MONOCYTES","CBSX_til10.signature_MONOCYTES","DeconRNASeq_LM22_MONOCYTES","DeconRNASeq_cd226.signature_MONOCYTES","DeconRNASeq_nsclc.scRnaPbmc.signature_MONOCYTES","Epidish_cd226.signature_MONOCYTES","Epidish_til10.signature_MONOCYTES","MONOCYTES_Subgroup_Similarity1","MONOCYTES_Subgroup_1","CBSX_cd226.signature_NEU","Quantiseq_no.Signature_NEUTROPHIL","DeconRNASeq_cd226.signature_NEU","DeconRNASeq_til10.signature_NEU","Epidish_cd226.signature_NEU","CBSX_ccle.til10_NK","CBSX_til10.signature_NK","DeconRNASeq_til10.signature_NK","DeconRNASeq_nsclc.scRnaPbmc.signature_NK","DeconRNASeq_melanoma.Tirosh.signature_NK","Epidish_til10.signature_NK","DeconRNASeq_LM22_NK","NK_Subgroup_1","NK_Subgroup_2","NK.ACTIVATED_Subgroup_Similarity1","NK.RESTING_Subgroup_1","CBSX_nsclc.scRNAseq_NKT","DeconRNASeq_nsclc.scRnaPbmc.signature_NKT","Epidish_nsclc.scRnaPbmc.signature_NKT","CBSX_ccle.til10_CD4","CBSX_cd226.signature_CD4","CBSX_nsclc.scRNAseq_CD4","CBSX_til10.signature_CD4","DeconRNASeq_til10.signature_CD4","DeconRNASeq_melanoma.Tirosh.signature_CD4","Epidish_til10.signature_CD4","Epidish_bprnacan.signature_CD4","Epidish_nsclc.scRnaPbmc.signature_CD4","CD4_Subgroup_1","CD4_Subgroup_2","CD4_Subgroup_3","DeconRNASeq_LM22_CD4.MEMORY.RESTING","CD4.RESTING_Subgroup_1","DeconRNASeq_LM22_FOLLICULAR.HELPER","CD4.FOLLICULAR.HELPER_Subgroup_1","CBSX_ccle.til10_CD8","CBSX_cd226.signature_CD8.CD226.Pos.NoAct","CBSX_nsclc.scRNAseq_CD8","CBSX_scRNA.melanoma_CD8","Quantiseq_no.Signature_CD8.","DeconRNASeq_cd226.signature_CD8.CD226.Neg.NoAct","DeconRNASeq_cd226.signature_CD8.CD226.Neg.PostAct","DeconRNASeq_cd226.signature_CD8.CD226.Pos.NoAct","DeconRNASeq_cd226.signature_CD8.CD226.PosAct","DeconRNASeq_hnscc.signature_CD8","DeconRNASeq_til10.signature_CD8","DeconRNASeq_nsclc.scRnaPbmc.signature_CD8","Epidish_til10.signature_CD8","Epidish_nsclc.scRnaPbmc.signature_CD8","Epidish_melanoma.Tirosh.signature_CD8","DeconRNASeq_cd226.signature_CD8","CD8_Subgroup_Similarity1","CD8_Subgroup_1","CBSX_ccle.til10_TREGS","CBSX_til10.signature_TREGS","Quantiseq_no.Signature_TREGS","DeconRNASeq_til10.signature_TREGS","Epidish_til10.signature_TREGS","CBSX_ccle.til10_DENDRITIC","CBSX_til10.signature_DENDRITIC","DeconRNASeq_LM22_DENDRITIC.RESTING","DeconRNASeq_hnscc.signature_DENDRITIC","DeconRNASeq_til10.signature_DENDRITIC","Epidish_til10.signature_DENDRITIC","DeconRNASeq_LM22_DENDRITIC","DENDRITIC_Subgroup_1","DENDRITIC_Subgroup_2","DeconRNASeq_LM22_DENDRITIC.ACTIVATED","DENDRITIC.ACTIVATED_Subgroup_1","data","DeconRNASeq_hnscc.signature_CANCER","DeconRNASeq_bprnacan.signature_CANCER","DeconRNASeq_melanoma.Tirosh.signature_CANCER","Epidish_bprnacan.signature_CANCER","CANCER_Subgroup_1","DeconRNASeq_LM22_MAST","MAST_Subgroup_Similarity1","MAST.ACTIVATED_Subgroup_1","DeconRNASeq_LM22_MAST.RESTING","MAST.RESTING_Subgroup_1","data.1","DeconRNASeq_melanoma.Tirosh.signature_ENDOTHELIAL","ENDOTHELIAL_Subgroup_1","ENDOTHELIAL_Subgroup_2","DeconRNASeq_melanoma.Tirosh.signature_CAF","CAF_Subgroup_1","data.2"
"LP.01.01",0.180457,0.898606,0.106609,0.089664,0.316457,0.900607,0.00297375,0.10493225,0.019532,0.011895,0.010561,0,0.008971,0.088646,0.390339,0.561673,0.488245,0.095181,0.205628,0.323727,0.23033,0.247682,0.101998,0.2760625,0.1592445,0.7820325,0.049828,0.075806,0.561673,0.256665,0.057049,0.13539,0.232714,0.247682,0.7476225,0.0002135,0,0.23158,0.068819,0.061485,0.044926,0.070238,0.091013,0.132312,0,0.0834385,0,0.186391,0,0.077349,0.143782,0.07638,0.403307,0,0.0278185,0.0480885,0.07128,0.082964,0.181222,0.164703,0.030174,0.010202,0,0.231064,0.075993,0,0,0,0,0.0851215,0,0.0851215,0,0,0.04887,0.424724,0.025596,0,0.146433,0.091227,0,0,0.036254,0,0.19935,0.137675,0.427766333333333,0.223434,0.5051025,0.046401,0,0,0.018353,0.05574,0,0.00276,0,0,0,0,0.053544,0.055783,0.031874,0,0,0,0,0,0.009557,0.059565,0.146433,0.07073,0.091227,0,0,0.289502,0.027555,0.039733,0.026887,0,0.183048,0.057289,0.071294,0.155492,0.071294,0.027555,0.101464,0.490455,0.002739,0.81112,0.0383573333333333,0.077643,0.062602,0.0524263333333333,0.045567,0,0.137758,0.044069,0.148576666666667,0.023416,0.330771,0.3870706,0.588237
"LP.01.02",0.230487,0.877092,0.10248,0.054645,0.368636,0.889445,0.00940075,0.09610775,0.0174465,0.037603,0.0138245,0,0.003622,0.099657,0.27213,0.578332,0.395965,0.141702,0.218328,0.229704,0.24783,0.158676,0.0967595,0.225559,0.1220005,0.6741035,0.076049,0.0546925,0.306062,0.227515,0.051577,0.175515,0.164407,0.158676,0.6325545,0.015481,0.27227,0.16845,0.083098,0.086569,0.03469,0.042813,0.065297,0.139584,0,0.0673085,0.074628,0.132322,0,0.08484,0.072895,0.213841,0.438277,0,0.0644235,0.0501975,0.018774,0.090832,0.153073,0.236012,0.027475,0.022514,0,0.244364,0.115128,0.026386,0,0.013758,0,0.087095,0,0.087095,0,0.070079,0.055258,0.306481,0.088957,0,0.228252,0.068243,0.044695,0.11366,0.036717,0,0.154696333333333,0.166466,0.433718,0.1155,0.542198,0.100854,0,0.011904,0.043506,0.07781,0,0.004451,0.003967,0,0.080597,0.063925,0.04897,0.049504,0.018433,0,0,0,0.14849,0,0.0090765,0.015866,0.051757,0.048779,0.068243,0,0,0.297641,0.035107,0.050288,0.069693,0,0.119669,0.0746585,0.0254285,0.084562,0.0254285,0.035107,0.09183,0.483474,0.065729,0.842933,0.02764,0.129025,0.062255,0.038787,0.129025,0.0040745,0.115632,0.122775,0.194458,0.0974745,0.335822,0.3591228,0.571359
"LP.01.03",0.239222,0.851969,0.103722,0.127033,0.314921,0.98151,0.0047995,0.15056375,0.025238,0.019198,0.0166675,0,0.008571,0.115343,0.242025,0.473398,0.431049,0.039939,0.227079,0.279172,0.258667,0.177915,0.1283315,0.253363,0.15621,0.796137,0.022384,0.0371225,0.241358,0.260052,0.06206,0.140865,0.18711,0.177915,0.7117805,0,0.232041,0.170997,0.108246,0.099594,0.017555,0.086214,0.092062,0.142579,0.060466,0.119088,0.187897,0.143174,0,0.10688,0.123816,0.181643,0.467183,0.013586,0.062225,0.012686,0.033563,0.170978,0.184356,0.27153,0.036484,0.093106,0,0.181925,0.09589,0.065829,0,0.015009,0,0.0562365,0,0.0562365,0,0.068671,0,0.245599,0.065805,0.074593,0.364938,0.088142,0.073444,0.029202,0.061222,0,0.175206,0.234772,0.40307,0,0.4773735,0.206906,0.023779,0,0.025854,0.06265,0,0.004256,0,0.070977,0,0,0.037952,0.047762,0.022959,0,0.003906,0,0.070977,0,0.0151705,0.115933,0.167256,0.106078,0.088142,0.029202,0,0,0.002469,0.103678,0.027747,0,0.259078,0.1108905,0.0932525,0.256609,0.0932525,0.002469,0.085288,0.40647,0.117689,0.738835,0.0209323333333333,0.072307,0.043996,0.0288156666666667,0.072307,0.0007725,0.141786,0.150419,0.180253333333333,0.051328,0.206031,0.2716168,0.471003
"LP.01.04",0.176075,0.280453,0.081385,0.035627,0.185844,0.301621,0.00991325,0.01676975,0.0408535,0.039653,0.0408535,0,0,0.066163,0.100633,0.380987,0.291973,0.083494,0.262263,0.317573,0.246687,0.378168,0.08764,0.053061,0.1773465,0.7440815,0.067492,0.107755,0.380987,0.158369,0.063576,0.262263,0.228304,0.378168,0.7440815,0,0,0.133604,0,0.051961,0.016002,0,0.089269,0.14064,0,0.069592,0,0.093732,0,0.09612,0.079704,0.315125,0.342621,0,0.0263785,0.0832415,0.007761,0.050371,0.054989,0.183011,0.04633,0.010696,0,0.197824,0.184116,0.054963,0,0.01839,0,0.083847,0,0.083847,0,0.130823,0.340647,0.214835,0.266425,0.630904,0.297653,0.09623,0.07656,0,0.018898,0.279892,0.0820406666666667,0.185249,0.365954,0,0.427279,0.21254,0.013589,0,0.043748,0,0,0.009638,4e-04,0,0.176315,0.253938,0.066654,0.053544,0,0,0,0,0.430652,0,0.0151335,0.03122,0.07517,0.058081,0.09623,0,0,0.214184,0.022921,0.081595,0.070433,0,0.148357,0.1933895,0.100386,0.125435,0.100386,0.022921,0.111946,0.493802,0.096796,0.90448,0.374468666666667,0.069724,0.074487,0.0614756666666667,0.03427,0,0.148074,0.144032,0.132706,0.0297255,0.474733,0.5229934,0.665629
"LP.01.10",0.218657,0.807753,0.084731,0.06513,0.15689,0.897404,0.00351575,0.05125325,0.016227,0.014063,0.003449,0,0.012778,0.088263,0.219473,0.61197,0.403207,0.146952,0.298955,0.490947,0.203533,0.243355,0.1505855,0.359345,0.170987,0.8573525,0.04816,0.0498955,0.498492,0.257945,0.077191,0.250596,0.365207,0.243355,0.8573525,0.01567725,0.113478,0.145262,0,0.076589,0.078817,0.048359,0.125741,0.113717,0,0.1097125,0.095379,0.15452,0,0.071462,0.128277,0.20875,0.583926,0,0.0351095,0.0535295,0.01829,0.118059,0.186143,0.191398,0.012144,0.017448,0,0.076446,0.110477,0.021056,0,0,0,0.0867235,0,0.0867235,0,0.072864,0.023633,0.215889,0.125261,0.042452,0.222971,0.096649,0.049926,0.062324,0.049244,0,0.157410666666667,0.102884,0.416018333333333,0.167516,0.485511,0.078453,0.000987,0.056275,0.025551,0.108342,0,0.016241,0,0.117898,0,0.029286,0.061144,0.059829,0.022368,0,0.013358,0.007113,0.147184,0,0.0140725,0.059834,0.123429,0.085202,0.096649,0,0,0,0.00695,0.055426,0,0,0.198605,0.0864385,0.093146,0.191655,0.093146,0.00695,0.092861,0.546833,0.071216,0.857435,0.0451636666666667,0.068328,0.044057,0.038324,0.041469,0,0.128051,0.102755,0.122302,0.034809,0.41236,0.3971558,0.542271
"LP.01.12",0.20416,0.756011,0.075246,0.05535,0.180051,0.793121,0.00250175,0.08740925,0.017556,0.010007,0.017556,0,0,0.079451,0.239938,0.691063,0.536122,0.167717,0.314082,0.439979,0.271495,0.166416,0.1662075,0.267873,0.325637,0.758636,0.053406,0.140763,0.513168,0.266016,0.097628,0.21256,0.34825,0.140169,0.758636,0,0.177894,0.270106,0,0.087843,0.114311,0.101522,0.091729,0.154397,0,0.184874,0.085242,0.139573,0,0.087736,0.156924,0.179958,0.602252,0,0.028066,0.0460505,0.038592,0.125905,0.174847,0.170499,0.048028,0,0,0.03821,0.123369,0.01911,0,0,0.0280403333333333,0.070228,0,0.070228,0,0.017381,0,0.113971,0.010133,0.011123,0.359625,0.138808,0.040438,0.123103,0.040616,0,0.146867,0.1330075,0.345096666666667,0.204705,0.3920655,0.046454,0,0.109724,0.032279,0.14811,0,0.016139,0,0.093941,0,0,0.069757,0.065673,0.039326,0,0.115414,0,0.093941,0,0.043512,0.015393,0,0.149353,0.138808,0,0,0,0.026777,0.035074,0,0,0.192359,0.0096585,0.0531625,0.165582,0.0531625,0.026777,0.100369,0.451099,0.063076,0.809199,0,0.050175,0.0298075,0.0198716666666667,0.050175,0,0.106796,0.114893,0.200759,0.122766,0.392545,0.3444064,0.411478
"LP.01.14",0.16817,0.817101,0.10229,0.073513,0.244358,0.940064,0.0257025,0.1320915,0.0700965,0.046873,0.0196015,0,0.050495,0.081035,0.194471,0.429238,0.559882,0.263847,0.345113,0.480471,0.215784,0.352409,0.129471,0.1552115,0.2097265,0.788801,0.038108,0.066729,0.420497,0.294836,0.22385,0.314567,0.432674,0.352409,0.788801,0.08465825,0.008741,0.265045,0,0.072082,0.084148,0.030546,0.047797,0.116401,0,0.115272,0,0.117518,0,0.045757,0.093888,0.2459,0.383795,0,0.031345,0,0.013904,0.101855,0.142384,0.12841,0.015179,0.057624,0.042051,0.223536,0.091243,0.0169,0.038751,0,0,0.07132,0,0.07132,0,0.104365,0,0.116979,0.010369,0,0.286118,0.036658,0.068338,0.002824,0.030527,0,0.191153,0.169209,0.402915333333333,0.207732,0.47465,0.044677,0,0.136749,0.0461,0.182899,0,0.039629,0.039997,0.058526,0.019693,0.118677,0.065982,0.028634,0.027004,0.020336,0.059936,0.008473,0.236893,0,0.0425255,0.002092,0.011287,0.107584,0.036658,0.002824,0,0,0.036891,0.054283,0,0,0.141663,0.093172,0.0436835,0.104772,0.0436835,0.036891,0.097394,0.529318,0.044946,0.825023,0.203802666666667,0.029297,0.0215305,0.0143536666666667,0.029297,0,0.096989,0.092417,0.102689,0.0349745,0.468133,0.3998532,0.293043
"LP.01.16",0.200171,0.808264,0.129597,0.071018,0.319165,0.875781,0.016965,0.125431,0.049723,0.057567,0.0116875,0,0.038035,0.07647,0.226419,0.470773,0.414406,0.196314,0.259498,0.583835,0.216608,0.320572,0.1546855,0.219884,0.268378,0.7339485,0.058449,0.108787,0.470773,0.227993,0.129475,0.249283,0.452278,0.320572,0.7329305,0.049609,0,0.186413,0,0.087939,0.074242,0.010215,0.131557,0.1166,0.002036,0.123995,0,0.122406,0,0.075057,0.102962,0.191539,0.259778,0,0.0275705,0.0159695,0.033231,0.069253,0.134899,0.072387,0.094824,0,0,0.039239,0.12608,0,0,0,0,0.0643955,0,0.0643955,0,0.024656,0,0.091806,0.134061,0.074825,0.308546,0.090836,0.039657,0.08997,0.023222,0,0.167003,0.0559415,0.352077,0.114717,0.375193,0.0764,0.0189255,0.113595,0.034793,0.104061,0.049611,0.033834,0,0.066506,0,0.049723,0.067535,0.084105,0.045272,0.03231,0.105131,0.045197,0.116229,0,0.0707375,0.023541,0,0.067784,0.090836,0,0.005162,0,0,0.069489,0,0.101277,0.14513,0.170498,0.003618,0.14513,0.003618,0,0.098765,0.51123,0.032685,0.817613,0.280155,0.042769,0.0395765,0.02847,0.036512,0,0.108316,0.06815,0.0403303333333333,0.011172,0.479775,0.4200146,0.470655
"LP.01.18",0.220221,0.884798,0.069519,0.10441,0.247238,0.766687,0.0088015,0.0879285,0.021067,0.035206,0,0,0.021067,0.08499,0.347251,0.521002,0.316966,0.175055,0.225038,0.453642,0.187278,0.235084,0.2021325,0.2609285,0.1908325,0.836122,0,0.053169,0.385198,0.169605,0.213874,0.219674,0.400677,0.235084,0.6890185,0.03312275,0.135803,0.147361,0.177042,0.051873,0.112434,0.005365,0.052964,0.103764,0.117166,0.1340385,0,0.117238,0,0.041509,0.162508,0.140409,0.491091,0,0.021313,0,0.017761,0.093603,0.152297,0.188512,0.022751,0.032067,0.050122,0.208547,0.079956,0,0.004601,0,0.004919,0.093891,0,0.093891,0,0.082212,0,0.169379,0.258311,0.065039,0.150932,0.045846,0.016489,0.122101,0.033852,0.225655,0.169355666666667,0.119454,0.381993666666667,0.089012,0.405825,0.082789,0.0237245,0,0.024389,0.035406,0.054314,0.025717,0,0.018104,0,0.078643,0.068982,0.033934,0.01326,0,0.007659,0.017119,0.096747,0,0.03935,0.027907,0.04493,0.08714,0.045846,0,0,0,0.094901,0.081865,0,0,0.286127,0.1715345,0.090702,0.191226,0.090702,0.094901,0.119976,0.533578,0.02209,0.841819,0.256176,0.02926,0.05197,0.038727,0.01702,0,0.10531,0.055256,0.0947416666666667,0.012943,0.395382,0.3418288,0.453268
"LP.01.19",0.223537,0.874135,0.083477,0.091033,0.264216,0.837941,0.005487,0.129704,0.0377295,0.021948,0.0181295,0,0.0196,0.12371,0.34393,0.467915,0.324546,0.094508,0.222622,0.515386,0.214266,0.226332,0.0977065,0.2572305,0.085146,0.596004,0.050428,0.0196875,0.467915,0.251876,0.179503,0.175664,0.421846,0.226332,0.596004,0.02357825,0,0.072671,0,0.05642,0.005005,0.046958,0.09354,0.124951,0,0.0573785,0,0.186839,0,0.082306,0.14556,0.206817,0.506057,0,0.0381375,0.003131,0.08019,0.110886,0.173903,0.130548,0,0,0,0.098271,0.102613,0,0,0,0,0.069732,0,0.069732,0,0.024402,0.058614,0.425083,0.089211,0.114249,0.457876,0.115683,0.053216,0.350116,0.0452,0.097953,0.241382333333333,0.176259,0.464571,0.20152,0.526682,0.095724,0.01381,0,0.005768,0.010845,0.022893,0.017992,0,0.097417,0,0,0.053336,0.056635,0.049757,0,0,0,0.097417,0,0.033517,0.156026,0.152588,0.101684,0.115683,0,0.071425,0,0.010451,0.040986,0,0,0.138371,0.0832035,0.0706405,0.12792,0.0576055,0.010451,0.099324,0.483561,0.045278,0.819688,0.03489,0.056736,0.0572615,0.0480076666666667,0.027237,0,0.160806,0.090693,0.187063333333333,0.0090235,0.2853,0.2933972,0.423641
"LP.01.20",0.234616,0.851686,0.165293,0.059004,0.302333,0.999334,0.019624,0.14358975,0.0432325,0.042657,0.032729,0,0.0105035,0.029566,0.137736,0.45445,0.362035,0.153373,0.229444,0.436817,0.20231,0.178621,0.0169855,0.090611,0.1072695,0.504797,0.093143,0.048336,0.45445,0.252088,0.07006,0.215597,0.363721,0.178621,0.504797,0.03241625,0,0.109948,0,0.025185,0.012009,0.013846,0.073096,0.110936,0,0.0423215,0,0.156176,0,0.075225,0.08494,0.215831,0.469682,0,0.0415765,0,0.018294,0.077785,0.164656,0.112889,0.043603,0,0,0.011435,0.143334,0.004083,0,0.006389,0.00306933333333333,0.1027725,0,0.1027725,0,0.082982,0.000666,0.307063,0.095283,0.139106,0.412648,0.117268,0.021147,0.410399,0.016157,0,0.127549,0.01694,0.4269,0.102237,0.4960605,0.158912,0.0137155,0.009721,0.028066,0,0.024665,0.011075,0.023874,0.062105,0,0.140891,0.082726,0.099723,0.015273,0,0,0.051162,0.22687,0,0.0071435,0,0,0.053017,0.117268,0,0.056517,0.086459,0.012622,0.057307,0.056576,0.071739,0.075326,0.1247925,0.0062745,0.062704,0.0062745,0.012622,0.103733,0.573516,0.061686,0.895933,0.142565333333333,0.065466,0.086295,0.072227,0.021375,0,0.127688,0.087932,0.065136,0.019108,0.505738,0.5416174,0.632684
"LP.01.22",0.258769,0.920846,0.11521,0.122333,0.517433,0.892411,0.010938,0.18888075,0.072816,0.043752,0.072816,0,0,0.063466,0.221273,0.260118,0.305194,0.14415,0.258852,0.23193,0.247749,0.321221,0.0713725,0.4484565,0.059146,0.332296,0.077948,0.0199315,0.174531,0.16616,0.021132,0.21816,0.096736,0.321221,0.249058,0.03727375,0.085587,0.139034,0,0.078262,0,0.040692,0.135194,0.139907,0.166476,0.03087,0,0.097089,0,0.080544,0.000666,0.220229,0.109933,0,0.022132,0,0,0.027276,0.144186,0.116686,0.04122,0.005305,0,0.33584,0.120853,0.081896,0.019242,0.047329,0,0.115466,0,0.115466,0,0.152638,0.107589,0.315642,0.199787,0,0.733762,0.071808,0.04569,0.582405,0.023927,0,0.136925,0.082366,0.344135333333333,0,0.3532465,0.204581,0.0604745,0.004061,0,0.079154,0,0.005507,0.076653,0,0,0.194967,0.081874,0.062372,0,0,0,0,0.27162,0,0.0223855,0.030411,0,0.027761,0.071808,0,0.020383,0,0.00836,0.073361,0.066155,0,0.091197,0.256253,0.06736,0.082837,0.06736,0.00836,0.142123,0.473325,0.144816,0.922232,0.321004,0.059384,0.1117895,0.087038,0.021848,0,0.141117,0.182664,0.242128,0.0827965,0.187515,0.1133744,0.737365
"LP.01.24",0.192003,0.838313,0.149811,0.084061,0.208016,0.939167,0.0300335,0.1783675,0.0616055,0.063642,0.031153,0,0.0304525,0.114491,0.310721,0.427988,0.499123,0.156253,0.337196,0.399378,0.224164,0.245472,0.1156395,0.2696245,0.288192,0.5158765,0.088835,0.1737155,0.259179,0.220686,0.08113,0.257301,0.332756,0.193457,0.5158765,0.021033,0.16881,0.278437,0,0.06568,0.04609,0.079895,0.066622,0.114969,0,0.0937375,0.082868,0.117765,0,0.073673,0.11686,0.205449,0.496756,0,0.021791,0.001199,0.036549,0.122564,0.1449,0.225398,0.046034,0,0,0.028371,0.111565,0.006055,0,0,0,0.069655,0,0.069655,0,0.031889,0,0.38842,0.080407,0.099811,0.599425,0.098941,0.086177,0.368822,0.02853,0.00298,0.230936,0.142314,0.362399333333333,0.183269,0.3972575,0.072127,0.0174215,0.007005,0.020668,0.061876,0,0.024018,0,0.128656,0,0.017963,0.04667,0.069874,0.047325,0,0.055454,0.018234,0.146619,0,0.028897,0.011045,0,0.093856,0.098941,0,0,0,0.014312,0.049449,0.028227,0,0.178553,0.1148145,0.0373595,0.164241,0.0373595,0.014312,0.103405,0.458998,0.072098,0.779913,0.0207636666666667,0.03597,0.0408825,0.0288383333333333,0.031221,0,0.126428,0.106918,0.114588,0.0412705,0.28452,0.2999052,0.447944
"LP.01.25",0.234232,0.919952,0.09215,0.067886,0.300588,0.968359,0.0060335,0.11026275,0.0325145,0.017945,0.018896,0,0.0136185,0.092979,0.261476,0.58299,0.323141,0.14275,0.222404,0.365853,0.224909,0.218584,0.1549635,0.2327465,0.198311,0.73326,0.056025,0.086818,0.38197,0.188024,0.147682,0.192479,0.305518,0.218584,0.7259175,0.01055875,0.201019,0.135117,0,0.079069,0.069246,0.029924,0.060335,0.120638,0.014684,0.107854,0,0.124267,0,0.091074,0.133613,0.182913,0.438102,0,0.055257,0.0014225,0.027762,0.100204,0.12989,0.226845,0.038638,0.082947,0,0.161575,0.102798,0,0,0,0.00672166666666667,0.069878,0,0.069878,0,0.042255,0,0.144993,0.190386,0.01197,0.396251,0.099206,0.032741,0.137229,0.025336,0,0.151740333333333,0.1265125,0.426091333333333,0.277404,0.4824395,0,0,0.073246,0.030851,0.047913,0.018223,0.024185,0,0.083438,0,0.035687,0.056267,0.046945,0.03139,0,0.028796,0,0.119125,0,0.035892,0.042549,0,0.07767,0.099206,0,0,0,0.025855,0.040412,0.007426,0,0.146707,0.0611785,0.0263675,0.120852,0.0263675,0.025855,0.091577,0.520583,0.028538,0.864843,0.111403,0.054581,0.0292595,0.0219796666666667,0.047161,0,0.120647,0.06597,0.11021,0.006701,0.444258,0.4204172,0.452474
"LP.01.28",0.245377,0.773696,0.163789,0.051564,0.246513,0.949289,0.0098665,0.12448925,0.030553,0.039466,0.010427,0,0.020126,0.122195,0.257852,0.36067,0.370067,0.142065,0.340675,0.44313,0.263331,0.207214,0.092406,0.210281,0.206405,0.5807495,0.057674,0.069412,0.36067,0.228594,0.051982,0.259358,0.290435,0.207214,0.365026,0,0,0.141473,0.25931,0.088581,0.084392,0.081317,0.152695,0.147105,0.172138,0.136993,0.055507,0.141544,0,0.08208,0.078122,0.280252,0.517396,0,0.0343975,0.021253,0.030199,0.069762,0.185444,0.124238,0.026004,0,0,0.025342,0.128106,0.008835,0,0,0,0.078419,0,0.078419,0,0.020184,0,0.560394,0.155196,0,0.451527,0.120662,0.050863,0.386974,0.021483,0,0.133219666666667,0.069232,0.358124333333333,0.153771,0.421976,0.07665,0,0.013031,0.019661,0.211536,0.009638,0.008818,0.023447,0.116632,0,0.023766,0.050259,0.080209,0.0582,0,0.022973,0.003972,0.163844,0,0.00583,0.050367,0,0.059015,0.120662,0,0,0,0.011002,0.0196,0.013364,0,0.120414,0.045651,0.0597195,0.109412,0.0597195,0.011002,0.09408,0.451552,0.068609,0.874298,0.0302653333333333,0.137132,0.1155325,0.0467183333333333,0.122393,0.0528245,0.109732,0.111742,0.131098,0.041191,0.391479,0.469495,0.565386
"LP.01.31",0.209196,0.847766,0.108961,0.075512,0.431284,0.863006,0.01317725,0.10507825,0.0446055,0.052709,0.0446055,0,0,0.071015,0.220823,0.52737,0.381823,0.114397,0.250263,0.209667,0.229694,0.251724,0.0659235,0.290975,0.148733,0.638053,0.061992,0.054244,0.202108,0.204691,0.063768,0.240228,0.111891,0.251724,0.581802,0.01321,0.325262,0.177132,0.059709,0.083433,0.025984,0.010035,0.097776,0.131857,0.052794,0.094489,0.131372,0.112705,0.04887,0.074711,0.078148,0.216956,0.278955,0,0.037579,0.0062085,0.009374,0.05072,0.117412,0.108776,0.03158,0.056341,0,0.453073,0.094993,0.073795,0,0.022066,0,0.092067,0,0.092067,0.152234,0.179875,0.124576,0.209764,0.189369,0,0.465096,0.045963,0.026453,0.209928,0.015028,0,0.156171333333333,0.1031935,0.370437666666667,0.00086,0.454866,0.200721,0,0,0.03714,0,0,0.007208,0,0,0.084212,0.127693,0.079127,0.035478,0,0,0,0,0.211905,0,0.0255295,0.043413,0,0.05578,0.045963,0,0,0,0.023373,0.056816,0.02192,0,0.131337,0.1120745,0.069497,0.107964,0.069497,0.023373,0.120988,0.535584,0.090228,0.891604,0.114153,0.063271,0.0630865,0.0482466666666667,0.044704,0,0.122714,0.131132,0.173110333333333,0.061253,0.349339,0.3562214,0.642244
