"","B_Response_Subgroup_8","B_Response_Subgroup_1_3_10_6","B_Response_Subgroup_4_5_9","CAF_Response_Subgroup_1","CAF_Response_Subgroup_2_3","Cancer_Response_Subgroup_1_4","CD4_Response_Subgroup_1_9_6","CD4_Response_Subgroup_2_10","CD4_Response_Subgroup_5_7_11","CD4_Response_Subgroup_8_12","CD8_Response_Subgroup_7","CD8_Response_Subgroup_1_2_10_6","CD8_Response_Subgroup_3_8_4_9_4","M0_Response_Subgroup_1_2","M1_Response_Subgroup_1_6_5","M1_Response_Subgroup_3_4","M2_Response_Subgroup_1_4_5","Mono_Response_Subgroup_5","Mono_Response_Subgroup_7","Mono_Response_Subgroup_1_8_2","Mono_Response_Subgroup_3_4","NK_Response_Subgroup_4_7_5","Dendritic_Response_Subgroup_1","Dendritic_Response_Subgroup_4","Dendritic_Response_Subgroup_5_6","Endothelial_Response_Subgroup_1_4_3_4","Macrophages_Response_Subgroup_1_2"
"LP.01.04",0.279188398458957,0.0335048866540779,0.574172200336972,0.786325347733627,0.480995264082843,0.740681726117302,0.0648200126530788,0.25829955949612,0.037202062385183,0.0573857902582169,0.185106718178635,0.00039870104962973,0.0174705530751011,0.0496734107498014,0.228908434724599,0.012519757334522,0.0866080219494566,0.0319929429918218,0.180656173999107,0.0834586728759789,0.136653051271913,0.0344571946171359,0.0418627944857204,0.134373982986321,0.0414028684173912,0.0576189434327743,0.113870589944962
"LP.01.12",0.096035233770998,0.0318914868252673,0.667700113819165,0.38382464508849,0.365304329049712,0.450933201954873,0.0303929527086726,0.20645680456396,0.087295361041774,0.0867419355050712,0.0123826695321546,0.0370470373617621,0.00802245935706147,0.11018457725971,0.491366751159064,0.00166651512153513,0.0825625503959079,0.034883164082884,0.300552294908352,0.10030424051986,0.115494612336389,0.00589810371190176,0.0246637208512464,0.0101254243966071,0.018392430075391,0.20863061137567,0.254257646587352
"LP.01.14",0.245093296354935,0.0809147704214472,0.703340246310828,0.491269662169161,0.413770354016143,0.586196306412345,0.0306434272031906,0.251399668751229,0.127334307313271,0.0605555817955307,0.105089465815083,0.0470580709796508,0.0554019869442171,0.0305973850522674,0.365998218469119,0.0368972588858705,0.059913372908679,0.0242363123173589,0.162934038481188,0.0784643350182739,0.084559976116574,0.0198764106163332,0.0243142603226579,0.0417726469211195,0.00754459094246522,0.0459555191214111,0.232514864728029
"LP.01.15",0.353630945281651,0.0403173146436094,0.565626550550604,0.597702302171263,0.421965903690156,0.611790885747446,0.0462527952537577,0.260701829313403,0.0663338285824932,0.160807564434321,0.132859255080721,0.0121037410049454,0.00453150863535912,0.06644416140118,0.255322234671546,0.0132160810893322,0.11757510531556,0,0.149956678981541,0.0660569688112115,0.241097320304678,0.0397713026013652,0.0298325953660324,0.074699200647962,0.0162791636277432,0.142199080822226,0.177351182137778
"LP.01.17",0.186036198025357,0.0842453096755722,0.54421272714256,0.663245254626467,0.532062034240001,0.498120039677354,0.0612137974160228,0.316149047446788,0.118262816497395,0.558963501726848,0.0997600997119383,0.021568666069739,0.000400335606585947,0.0141941705847224,0.210130647199696,0.0608371133575123,0.0475300029218854,0.100802056996681,0.284677610743885,0.0997801987954644,0.113641286254541,0.0392865683767734,0,0.0140506620047525,0.0123857385227534,0.14522699563251,0.0730600684181981
"LP.01.18",0.215675255685006,0.0253289783333448,0.711843033883389,0.530701490044094,0.359801435081041,0.599779863263858,0.0270801066321771,0.253549944135307,0.0599006677843428,0.0530892982343112,0.0936295338699756,0.00474193627059629,0.0271007896655301,0.0400447219230522,0.435642136284022,0.0291205629504367,0.074771535260534,0.0149077908458936,0.125329341388475,0.093175221359171,0.088751608237543,0.0148124506928019,0.0857113938914633,0.102925621228482,0,0.0435080260618382,0.323269591391987
"LP.01.20",0.232708450330123,0.0690850442311036,0.540532430340386,0.777112747746294,0.562809762977822,0.560265484410112,0.0491669596495941,0.322379352113349,0.017260799458386,0.181066945996929,0.135055472313641,0.000911458228992568,0.0259122320026118,0.0433464043216124,0.255704811525607,0.0265034418750292,0.0262793619645038,0.0298092777986282,0.178017000303857,0.0819081013525798,0.142182323050248,0.0106909366558773,0.0441064823295238,0.0720208211925329,0.181018353366381,0.0622002823758827,0.0756543013096039
"LP.01.22",0.273004150465231,0.0330977017560729,0.512066317503029,0.747988648729311,0.339931657284495,0.657303353797109,0.0721608068205391,0.339261199654122,0.0121321085099898,0.207477084400756,0.141760896288953,0,0,0.0152406428044905,0.0959435770760368,0.0487352244738987,0.207718461898449,0.0209034651899914,0.0342568607764131,0.0416710970196099,0.164080533112196,0,0.0975522747221001,0.163765810466111,0.0367952378919223,0.155086145462603,0.103852646375627
"LP.01.25",0.224054813736112,0.054886727969426,0.674235256563596,0.544976118915728,0.435810173728195,0.504549991130224,0.0312311898434452,0.334250966701521,0.0976252824139923,0.1269468229154,0.0688785622688368,0.0217049227422276,0,0.0632570299305984,0.450090610075271,0.00941174227025935,0.0584801674003623,0.051606352919612,0.190518224548814,0.0974471734378981,0.11589129826375,0.00497928251906156,0.0414853202602439,0.0364133637114824,0.00912308925997866,0.0674523857373572,0.237785866771454
"LP.01.28",0.177263030924383,0.0588966046602399,0.574261079603331,0.613321592731615,0.458725230841874,0.481140368319797,0.0370745624376102,0.266671701572082,0.0687063248849485,0.0981353705345762,0.0441189408064037,0.0352176480894945,0.000459282685238547,0.0617831605632792,0.280228522585706,0.00066661234174703,0.275332764563386,0.0491328912528062,0.229765986718226,0.0992307192554291,0.17126487973544,0.002628788066364,0.0394049440927998,0.0225657660022551,0.0183846634918824,0.126624808655282,0.185458763004977
